config_id,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,max_samples,n_random_thresholds,min_impurity_decrease,train_time_seconds_mean,train_time_seconds_sum,train_MAE_mean,train_MAE_std,train_RMSE_mean,train_RMSE_std,train_R2_mean,train_R2_std,val_MAE_mean,val_MAE_std,val_RMSE_mean,val_RMSE_std,val_R2_mean,val_R2_std,mae_gap_val_train_mean,mae_gap_val_train_std,r2_gap_train_val_mean,r2_gap_train_val_std,selection_score
46,80,12,4,4,0.6,False,1.0,2,0.0,20.34765076637268,20.34765076637268,0.6134529847939982,0.0,1.4542421894158903,0.0,0.9727948889163127,0.0,0.6989472887262949,0.0,1.445217158820089,0.0,0.9706944486788364,0.0,0.08549430393229662,0.0,0.002100440237476353,0.0,0.7007621968168146
37,80,12,4,1,0.6,False,1.0,1,0.0,13.66546893119812,13.66546893119812,0.5387300728379617,0.0,1.1211103389888124,0.0,0.9838313507800368,0.0,0.7006243092758301,0.0,1.3365053418995303,0.0,0.9749374604375425,0.0,0.16189423643786838,0.0,0.008893890342494326,0.0,0.7043068885217122
47,80,12,4,4,0.8,False,1.0,1,0.0,17.229949235916138,17.229949235916138,0.6478672246571329,0.0,1.5205814459187172,0.0,0.9702562037412676,0.0,0.7068166090864825,0.0,1.4592732306807772,0.0,0.9701216294473998,0.0,0.058949384429349605,0.0,0.0001345742938678729,0.0,0.7080023254897629
27,80,10,4,1,0.8,False,1.0,1,0.0,11.048555135726929,11.048555135726929,0.6085575026362525,0.0,1.2304733787238902,0.0,0.9805230267374649,0.0,0.709125396785058,0.0,1.3683806419971343,0.0,0.9737277346922509,0.0,0.10056789414880551,0.0,0.0067952920452140075,0.0,0.7114765192702949
30,80,10,4,2,0.6,False,1.0,2,0.0,12.168240785598755,12.168240785598755,0.5982419648581069,0.0,1.267049856647317,0.0,0.9793478898892691,0.0,0.7128130845278907,0.0,1.4116193001488444,0.0,0.9720411790559138,0.0,0.11457111966978384,0.0,0.007306710833355323,0.0,0.7154698424629541
16,80,8,4,1,0.8,False,1.0,2,0.0,8.377933025360107,8.377933025360107,0.6854000360943939,0.0,1.3939038870505513,0.0,0.9750056019436188,0.0,0.7251927583638392,0.0,1.4008517407118195,0.0,0.97246608129018,0.0,0.0397927222694453,0.0,0.002539520653438876,0.0,0.7261155888419001
20,80,8,4,2,0.8,False,1.0,2,0.0,7.824681997299194,7.824681997299194,0.6997025166243185,0.0,1.4680438562507558,0.0,0.9722760515005716,0.0,0.728445984197895,0.0,1.4341370265317848,0.0,0.971142083346158,0.0,0.028743467573576487,0.0,0.0011339681544135782,0.0,0.7290775519570872
31,80,10,4,2,0.8,False,1.0,1,0.0,9.38182258605957,9.38182258605957,0.6585854570911782,0.0,1.3662726720547016,0.0,0.9759867032840458,0.0,0.7445721918987297,0.0,1.4320609710660641,0.0,0.9712255722613732,0.0,0.08598673480755148,0.0,0.0047611310226726156,0.0,0.7465299831460144
34,80,10,4,4,0.6,False,1.0,2,0.0,10.132072925567627,10.132072925567627,0.6951411294378236,0.0,1.5325105421417,0.0,0.9697876877108615,0.0,0.74673732399088,0.0,1.4664621466046428,0.0,0.9698265206711207,0.0,0.05159619455305642,0.0,-3.883296025919414e-05,0.0,0.7477692478819411
24,80,8,4,4,0.8,False,1.0,2,0.0,6.892043828964233,6.892043828964233,0.7457180707308212,0.0,1.6140361310592015,0.0,0.9664877545269666,0.0,0.7501576170505289,0.0,1.4873162737705636,0.0,0.9689622423722559,0.0,0.004439546319707666,0.0,-0.0024744878452893637,0.0,0.750246407976923
