country_name,country_code,year,population,pop_growth,life_expectancy,gdp_growth,sanitation,electricity,water_access,co2_emissions,labor_force,is_covid,log1p_gdp_per_capita,electricity_water_interaction,basic_services_gap
Montenegro,MNE,2018.0,-0.2534442964778162,-0.7466265535770217,77.8853658536585,0.2392186853639948,-0.29977695863218246,0.6260025836801568,0.6762554623243429,-0.26729410184677355,-0.7524610492633725,0,0.2611480181983408,0.723706873330844,-0.31800648822694677
Algeria,DZA,2006.0,0.0009362842891787235,0.16403669998973788,73.116,-0.06979630789093752,0.2855628882671931,0.5799410658893801,0.16309613320069533,-0.18380642062327102,-1.7884649811937114,0,-0.2868757170789125,0.4054125063083472,-0.40742644776022463
Algeria,DZA,2024.0,0.10262664882527743,0.07542514394334844,76.4752,0.06507692252363878,0.34691636656629954,0.5941138405942342,0.3023296320122376,-0.09366960796871028,-2.0389020802242883,0,0.0003119519703028951,0.4924373714727204,-0.47511900372560095
Burkina Faso,BFA,2016.0,-0.10921759621245619,1.0222068356529181,59.173,0.44575268860218364,-1.2697647000004377,-2.3290209422819865,-2.058088089646443,-0.4975719079842403,0.004676702599224373,0,-1.3710474703935012,-2.14089320547271,2.0523599697317727
Kiribati,KIR,2001.0,-0.25757721496896596,0.4017821717347558,64.918,-1.0887853417369977,-1.3824005750700306,-0.8869411160630511,-1.7294533934082705,-0.4847507467464308,7.137836401163614e-16,0,-1.3204561343952272,-1.3709090584147603,1.400220061250287
Puerto Rico (US),PRI,2014.0,-0.2306360565376786,-1.589452264612471,80.039,-0.759396976759637,-0.7433423328430804,0.6260025836801568,0.6993574073813114,-0.17597648420537096,-2.1011848726025297,0,1.0186809140098454,0.7363650725154599,-0.1401996751400299
Burkina Faso,BFA,2005.0,-0.1508682773659759,1.159706029648703,53.271,0.9016067616859912,-1.590465022195724,-2.5238965944737353,-1.8666938469855072,-0.5105769770808344,1.2591726884371048,0,-1.630113178851933,-2.2193614096711047,2.2183227687308587
Jordan,JOR,2001.0,-0.21588162008967074,0.4837747052085791,72.141,0.32975848488722637,0.6239022657719822,0.5905706469180209,0.6488088161269128,-0.19832846319710848,-2.2357960690329244,0,-0.7998482961714042,0.6774528309719846,-0.6785800880216774
Kyrgyz Republic,KGZ,2005.0,-0.21847386518869666,-0.09201675819300449,67.9560975609756,-0.5883021798849696,1.2485768997834714,0.6047434216228754,-0.2154134971565491,-0.4030552603205818,1.1121049335310627,0,-1.5811973351754482,0.2192486462658306,-0.7185429934771408
Honduras,HND,2007.0,-0.19787369841202512,0.6331209830098548,69.539,0.4845878268075991,-0.435358409528757,-0.3129437405164476,0.10668236497932207,-0.40103159956968276,-0.21080166780614554,0,-0.8214351420046128,-0.3368652538456739,0.2857388724728958
Samoa,WSM,2008.0,-0.2568080539239821,-0.34851461429625546,71.531,0.040817388347020624,-0.383736794381439,0.5586819038320983,0.05822845195932216,-0.3819647821039992,-0.5804801774060336,0,-0.33874891488856035,0.3319119780991982,-0.09372341855544798
Indonesia,IDN,2001.0,1.4307931604179183,0.06899567439857145,66.583,0.05554584406536089,-0.4784671249579032,0.14058505003889332,-0.6034073243767379,-0.36336047936415755,0.6100252620690415,0,-1.3086730613284343,-0.31110607696788767,0.29555004591604045
Malaysia,MYS,2003.0,-0.06801394770853236,0.6756437689255578,73.727,0.41718022942714544,0.8721148339267811,0.5799410658893801,0.5339591290432207,0.158924596459149,0.12331537646810126,0,-0.16065383747903167,0.6059769916978388,-0.7470294837943972
Malta,MLT,2013.0,-0.2549986845143195,-0.08973531664805036,81.7463414634146,0.5021224580978846,0.6298996264019872,0.6260025836801568,0.7411579954982193,0.08040926311358756,-0.7356848777679433,0,0.9442085271787306,0.7592687790697382,-0.7201703131169532
Senegal,SEN,2009.0,-0.1631623806205097,0.6752521067794567,63.751,-0.09473024014717267,-1.271521636985276,-1.021582475759168,-0.9666093070719766,-0.4621736644906372,-1.2621753855975666,0,-0.9401489743127482,-1.2163874507782089,1.2129780937435368
Canada,CAN,2000.0,-0.021711581425536874,-0.21425035868121808,79.1668292682927,0.30760245558879395,0.8080067062508542,0.6260025836801568,0.7153843846057178,1.3731394264265326,0.42538691950257485,0,0.9149308499843375,0.7451466997565228,-0.787272085906645
Guyana,GUY,2014.0,-0.2524591317111528,-0.4448215609777419,67.334,-0.274383074761902,-0.16228540059978486,0.16184421209617522,0.35084945615178725,-0.22655189424134536,-0.5825897558575548,0,-0.03142074576261475,0.15787503784237025,-0.09289356558827244
Mexico,MEX,2001.0,0.5134090880598161,0.1279174323800858,72.912,-0.6347204626179214,-1.2768673829609292,0.5232499670699622,0.2806032568261461,-0.0976097043311051,-0.21291124625766672,0,0.20602495542086519,0.4222445065500942,0.23359147609875755
Iceland,ISL,2021.0,-0.2554017979233141,0.22483814330065047,83.1658536585366,0.3146888289532052,1.2350803526137668,0.6260025836801568,0.7411580258065783,0.38876100624951543,1.2412914996575455,1,1.5917912096423532,0.7592687956765319,-0.9709657543044878
Ukraine,UKR,2009.0,0.10115745501869948,-1.0512056060228954,69.159,-3.1105921730398642,1.3495304511549284,0.6224593900039435,0.47449664517618095,0.15087719383550813,-0.482535463585411,0,-0.5024679228681752,0.6101315820237553,-0.9474824554727131
Croatia,HRV,2009.0,-0.22508417730503036,-0.8569182231411875,76.1682926829268,-1.707209955107368,0.8872541210202435,0.6260025836801568,0.7121486693802423,0.018963172555672664,-0.8041959493840091,0,0.586519043762599,0.7433737612559868,-0.8192711461063426
Samoa,WSM,2012.0,-0.2567587845073272,-0.2258621814534971,71.159,-1.1879173399584846,-0.41466645405224556,0.5126203860413215,0.11217880778743532,-0.37342681687829954,-0.6104161001942856,0,-0.24103307570806842,0.3241538340099332,-0.07535900696095894
Mali,MLI,2010.0,-0.1353491049465501,1.2227831254938246,55.993,0.3814875990064147,-1.4506609115614115,-1.9605287999557723,-1.245589650749736,-0.5059894227416755,0.9345989752530732,0,-1.254832828937116,-1.8503042134079155,1.7591394102876328
"Congo, Rep.",COG,2008.0,-0.22656175099830897,1.2477991763721277,60.79,0.5044898537179929,-1.0592801897372819,-1.6132958196868394,-1.3210467867979403,-0.4041052975801594,0.6737144400816311,0,-0.4498874074977767,-1.6613330273396982,1.4689158839615122
Samoa,WSM,2007.0,-0.25681849216371777,-0.44782548079803225,71.605,-0.4767792224168047,-0.3830455875429344,0.3602630579641367,0.04463963692521028,-0.3844350337974231,-0.5620967080427783,0,-0.40517813855401374,0.16834060053623914,-0.0060903059521524566
South Africa,ZAF,2002.0,0.11191704452183965,-0.20447964358546203,55.58,0.06514004403621859,-0.15801019873827984,-0.19956154287761224,-0.012857460190351956,0.30628103115208877,-0.016519538032725586,0,-0.482999048187516,-0.29671978475023825,0.153696819898115
Belarus,BLR,2000.0,-0.18133894077246698,-1.0839577865602497,68.9121951219512,0.4191197046208099,1.143581687342338,0.23625127929666068,0.6168216453999991,0.08346990096920269,-0.17644567588137344,0,-0.9560686608377366,0.3497014979426579,-0.734933641072946
Qatar,QAT,2007.0,-0.24895633907028009,12.6656989865164,77.741,2.473517776829091,1.2579471430074103,0.6260025836801568,0.7355380364261449,4.4480418337303425,2.4381256744871833,0,1.5501148285304736,0.7561894469542703,-0.9789793130201238
